species,sample,cellline,sensitivity,group,treatment,pct
PS(18:0_20:3),Area[s71-1],MCF7,Res,Resistant,Ctr,2.407796353628797
PS(20:0_18:1),Area[s71-1],MCF7,Res,Resistant,Ctr,1.7172107766213751
PS(22:0_18:1),Area[s71-1],MCF7,Res,Resistant,Ctr,1.0601321896584244
PS(18:0_22:4),Area[s71-1],MCF7,Res,Resistant,Ctr,0.6394525416758134
PS(18:0_17:1),Area[s71-1],MCF7,Res,Resistant,Ctr,3.2191170617192566
PS(20:3_22:6),Area[s71-1],MCF7,Res,Resistant,Ctr,0.40456646228388216
PS(20:3_22:5),Area[s71-1],MCF7,Res,Resistant,Ctr,0.18768726601063984
PS(18:1_20:1),Area[s71-1],MCF7,Res,Resistant,Ctr,0.7500447655459649
PS(18:1_22:1),Area[s71-1],MCF7,Res,Resistant,Ctr,0.598025440435179
PS(18:1_24:1),Area[s71-1],MCF7,Res,Resistant,Ctr,0.3415644569375557
PS(18:1_22:6),Area[s71-1],MCF7,Res,Resistant,Ctr,0.05983116127263304
PS(20:3_20:4),Area[s71-1],MCF7,Res,Resistant,Ctr,1.6457962653927911
PS(16:0_16:0),Area[s71-1],MCF7,Res,Resistant,Ctr,0.03650358265850093
PS(16:0_18:0),Area[s71-1],MCF7,Res,Resistant,Ctr,1.2759746008562893
PS(26:0_18:1),Area[s71-1],MCF7,Res,Resistant,Ctr,0.014025338813350288
PS(16:0_18:3),Area[s71-1],MCF7,Res,Resistant,Ctr,0.0
PS(16:0_20:5),Area[s71-1],MCF7,Res,Resistant,Ctr,0.06594084908712619
PS(O-15:0_18:1),Area[s71-1],MCF7,Res,Resistant,Ctr,0.016585573056644397
PS(O-18:1_21:0),Area[s71-1],MCF7,Res,Resistant,Ctr,0.39760450661103774
PS(18:0_21:3),Area[s71-1],MCF7,Res,Resistant,Ctr,5.87744162855498
PS(18:0_21:4),Area[s71-1],MCF7,Res,Resistant,Ctr,1.9788801605509703
PS(O-14:0_4:0),Area[s71-1],MCF7,Res,Resistant,Ctr,0.03672504444379969
PS(O-18:0_18:1),Area[s71-1],MCF7,Res,Resistant,Ctr,0.05156553814899466
PS(18:3_22:5),Area[s71-1],MCF7,Res,Resistant,Ctr,0.23028172572157304
PS(17:0_18:0),Area[s71-1],MCF7,Res,Resistant,Ctr,25.2367544931515
PS(18:0_23:6),Area[s71-1],MCF7,Res,Resistant,Ctr,0.09815290546447547
PS(16:0_18:4),Area[s71-1],MCF7,Res,Resistant,Ctr,0.038407553688781446
PS(O-18:0_21:0),Area[s71-1],MCF7,Res,Resistant,Ctr,0.25813314131100246
PS(15:0_22:0),Area[s71-1],MCF7,Res,Resistant,Ctr,0.36462210468844086
PS(28:0_9:0),Area[s71-1],MCF7,Res,Resistant,Ctr,0.19281828178470403
PS(18:0_19:2),Area[s71-1],MCF7,Res,Resistant,Ctr,1.61548264380212
PS(23:3_20:4),Area[s71-1],MCF7,Res,Resistant,Ctr,0.08455483081201416
PS(17:0_22:6),Area[s71-1],MCF7,Res,Resistant,Ctr,0.014419813110853831
PS(18:3_22:6),Area[s71-1],MCF7,Res,Resistant,Ctr,0.027535847169589796
PS(23:0_18:1),Area[s71-1],MCF7,Res,Resistant,Ctr,1.8124039677980768
PS(O-17:1_10:0),Area[s71-1],MCF7,Res,Resistant,Ctr,0.030954324054855663
PS(18:1_23:1),Area[s71-1],MCF7,Res,Resistant,Ctr,1.7582845396757418
PS(18:1_26:1),Area[s71-1],MCF7,Res,Resistant,Ctr,0.05492265739384358
PS(16:0_16:1),Area[s91-1],H1299,Res,Resistant,Ctr,0.27228233879011854
PS(16:1_18:1),Area[s91-1],H1299,Res,Resistant,Ctr,0.27283667456028216
PS(16:0_18:1),Area[s91-1],H1299,Res,Resistant,Ctr,4.372118653882644
PS(18:1_18:1),Area[s91-1],H1299,Res,Resistant,Ctr,6.178382722724685
PS(18:0_18:1),Area[s91-1],H1299,Res,Resistant,Ctr,35.829169563831954
PS(18:1_18:0),Area[s91-1],H1299,Res,Resistant,Ctr,0.3739858572441551
PS(18:0_20:5),Area[s91-1],H1299,Res,Resistant,Ctr,0.7424740670487976
PS(18:0_20:4),Area[s91-1],H1299,Res,Resistant,Ctr,1.1619495889534968
PS(18:0_22:6),Area[s91-1],H1299,Res,Resistant,Ctr,2.073512201106329
PS(18:0_22:5),Area[s91-1],H1299,Res,Resistant,Ctr,1.1861122139298292
PS(24:0_18:1),Area[s91-1],H1299,Res,Resistant,Ctr,2.0803970159566116
PS(17:0_16:1),Area[s91-1],H1299,Res,Resistant,Ctr,0.1387928499598078
PS(O-18:0_17:1),Area[s91-1],H1299,Res,Resistant,Ctr,0.2999696475455206
PS(17:1_18:1),Area[s91-1],H1299,Res,Resistant,Ctr,0.1007633978734293
PS(16:0_20:4),Area[s91-1],H1299,Res,Resistant,Ctr,0.5799057819799273
PS(18:1_18:2),Area[s91-1],H1299,Res,Resistant,Ctr,0.28822930985929446
PS(16:0_22:6),Area[s91-1],H1299,Res,Resistant,Ctr,0.14924822944097993
PS(18:0_20:3),Area[s91-1],H1299,Res,Resistant,Ctr,1.991052586521992
PS(20:0_18:1),Area[s91-1],H1299,Res,Resistant,Ctr,1.5057132117752523
PS(22:0_18:1),Area[s91-1],H1299,Res,Resistant,Ctr,1.3480378224191567
PS(18:0_22:4),Area[s91-1],H1299,Res,Resistant,Ctr,1.3305936817129973
PS(18:0_17:1),Area[s91-1],H1299,Res,Resistant,Ctr,1.712413079885405
PS(20:3_22:6),Area[s91-1],H1299,Res,Resistant,Ctr,0.304705294800845
PS(20:3_22:5),Area[s91-1],H1299,Res,Resistant,Ctr,0.17319872018921667
PS(18:1_20:1),Area[s91-1],H1299,Res,Resistant,Ctr,0.8719575094067419
PS(18:1_22:1),Area[s91-1],H1299,Res,Resistant,Ctr,1.1043973688120727
