species,group,treatment,mean,sem,n
SM(d18:2_24:1),Resistant,C18:0,1.9244071883126281,0.3676027653644676,8
SM(d20:1_24:0),Resistant,C18:0,0.8823754446568957,0.42018457769787,8
SM(d20:1_24:1),Resistant,C18:0,0.7846076098799193,0.20317971350452624,8
SM(d24:0_10:1),Resistant,C18:0,0.5226705004578108,0.05913194686740898,8
SM(d35:1),Resistant,C18:0,1.722291560152645,0.3379411238404442,8
SM(d36:0),Resistant,C18:0,0.7204602044896402,0.22438634278544023,8
SM(d36:2),Resistant,C18:0,1.3426403121418686,0.15217201305030034,8
SM(d38:0),Resistant,C18:0,1.341113922165321,0.7065966736935038,8
SM(d38:1),Resistant,C18:0,3.1080529566875144,1.2572405475923178,8
SM(d42:1),Resistant,C18:0,0.4826097386975897,0.11063944816885285,8
SM(d42:2),Resistant,C18:0,1.3035179414488063,0.30121879384150835,8
SM(d44:5),Resistant,C18:0,0.9184962597026007,0.21238529198695236,8
SM(d44:7),Resistant,C18:0,1.2794715563106158,0.2223363816166508,8
SM(d16:1_16:0),Sensitive,C18:0,1.1067809380697156,0.10673460240230444,19
SM(d17:1_16:0),Sensitive,C18:0,1.6760585440352176,0.1986628658607464,19
SM(d18:0_16:0),Sensitive,C18:0,5.164009828210044,0.9309304492653174,19
SM(d18:1_16:0),Sensitive,C18:0,34.001526362593246,1.833081185414004,19
SM(d18:1_18:0),Sensitive,C18:0,3.6558350174973953,0.6227932282456796,19
SM(d18:1_18:3),Sensitive,C18:0,1.1905876643654347,0.13290750978104215,19
SM(d18:1_20:0),Sensitive,C18:0,2.3487694839007305,0.7226247285497213,19
SM(d18:1_22:0),Sensitive,C18:0,7.7230530568271805,0.48821542468779816,19
SM(d18:1_23:0),Sensitive,C18:0,0.4963307320688561,0.05122803472410714,19
SM(d18:1_23:1),Sensitive,C18:0,0.763091794456732,0.06323550430723554,19
SM(d18:1_24:0),Sensitive,C18:0,6.079926518845901,0.6237771787137867,19
SM(d18:1_24:1),Sensitive,C18:0,12.23327394485749,1.4088872828636838,19
SM(d18:1_26:4),Sensitive,C18:0,0.6500261618654221,0.0769198645547949,19
SM(d18:2_16:0),Sensitive,C18:0,2.0248887249948115,0.22270098435718957,19
SM(d18:2_22:0),Sensitive,C18:0,1.3039521721185376,0.16570042929807194,19
SM(d18:2_24:1),Sensitive,C18:0,1.3852229174060482,0.12196334068871059,19
SM(d20:1_24:0),Sensitive,C18:0,0.4159055367141214,0.05791800259135178,19
SM(d20:1_24:1),Sensitive,C18:0,0.4332404854118604,0.058002954031609114,19
SM(d24:0_10:1),Sensitive,C18:0,0.5877492075499928,0.039154007273219715,19
SM(d35:1),Sensitive,C18:0,1.8907964685438252,0.2290024369759234,19
