species,sample,cellline,sensitivity,group,treatment,pct
PI(24:3_16:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.030552448094645322
PI(18:0_22:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.7231509983196123
PI(18:0_21:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.5628004573279214
PI(19:0_21:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.06872015088369382
PI(18:0_22:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.8583940862630017
PI(P-7:0_21:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.2162723316766997
PI(16:0_18:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.49728595312434853
PI(18:1_19:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.48511930145255555
PI(18:0_20:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.07945798574995594
PI(17:1_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0456038656074716
PI(18:1_21:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.4869174478549675
PI(O-13:1_15:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.7206475263934877
PI(P-11:0_21:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.09792939904569452
PI(14:0_16:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.001829187909435734
PI(14:0_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.01305723537525654
PI(12:0_16:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0
PI(O-16:0_16:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.00577885426505856
PI(O-16:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.06335999761743723
PI(O-18:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.05163903435201399
PI(18:0_18:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.11138607080996672
PI(O-18:0_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.2112693384908099
PI(20:4_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.03335756696593724
PI(P-11:0_22:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.04838122973634176
PI(19:1_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.15196479682788788
PI(16:1_22:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.197024105677869
PI(15:0_16:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0
PI(18:1_14:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0033048871358215236
PI(16:0_16:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.005124341252740212
PI(16:0_17:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.1030304059763975
PI(17:0_18:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.9775439052340429
PI(4:0_10:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.11233796940847533
PI(P-9:0_22:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.01766767685968077
PI(O-18:1_22:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0
PI(O-18:0_22:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.019198614427661295
PI(O-16:0_16:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0
PI(16:0_19:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.018369520198072236
PI(O-18:0_22:5),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.008327861265658744
PI(18:0_22:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.040447823200707764
PI(36:9),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.02783763075903322
