species,sample,cellline,sensitivity,group,treatment,pct
Cer(d18:2_16:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.6782788392615459
Cer(d17:1_24:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.7694132963699364
Cer(d19:1_24:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.409551289394796
Cer(t19:2_23:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.1868308664550574
Cer(t18:1_24:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.2779053288641239
Cer(t19:1_23:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,12.753195745036288
Cer(d20:1_23:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.6290464948120067
Cer(d20:1_24:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.5523196921948527
Cer(d18:0_16:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,2.6939922997331442
Cer(m18:0_24:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.06764322397590479
Cer(d18:0_26:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.08813139944855931
Cer(d20:1_18:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.4247509351254985
Cer(d20:0_18:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.1070933158784151
Cer(d18:0_23:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.12649759698684654
Cer(t17:0_23:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.039092415154723135
Cer(m18:2_24:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.6264260392309229
Cer(d20:1_24:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,6.081381759222543
Cer(d17:1_16:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.7017385304442971
Cer(d17:1_22:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.19530452915092836
Cer(d18:0_18:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.1552850095382906
Cer(d20:0_23:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.05850758720672563
Cer(d17:0_35:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.008382676237621695
Cer(t21:1_23:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.2212898838902209
Cer(m10:0_13:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.16581924028886869
Cer(m18:2_22:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.21888219768061842
Cer(t19:1_21:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.03742606807022474
Cer(d18:1_22:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.23100013848830556
Cer(m20:2_24:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.02926305326385666
Cer(t19:0_19:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.04092898482252732
Cer(t21:1_23:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.33195532624400403
Cer(t13:2_22:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.2514630928309253
Cer(m20:2_18:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.03619696001179784
Cer(d19:1_26:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.62379098043282
Cer(m18:1_22:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0923801949853265
Cer(d17:1_29:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.2730119618372574
Cer(t17:0_26:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.13996884495911593
Cer(d23:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0
Cer(m13:1_10:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0
Cer(t43:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.23075457542128608
Cer(d17:2_30:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,9.733848069418656
Cer(d17:1_39:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.006704679500928016
Cer(d18:1_22:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.05501074863837862
Cer(t20:0_24:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.2331801204557238
Cer(m20:1_24:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0
Cer(m13:0_7:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.18958746686074798
Cer(t15:0_26:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.04757538332111604
Cer(t43:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.03226116880751909
Cer(m38:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0
Cer(d18:1_12:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0034370979900909733
Cer(t18:1_14:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0054847571436426375
Cer(t17:2_6:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.029761030085755345
Cer(d18:1_17:2),Area[s31-1],CaCo2,Res,Resistant,Ctr,16.42691206637461
Cer(d13:2_22:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.5836773033605174
Cer(d18:1_22:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.8881636910875867
Cer(m18:1_24:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.4375672893321894
Cer(m18:2_24:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.4375672893321894
Cer(d18:1_23:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.8623236787320117
Cer(d18:1_24:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,6.17545773099947
Cer(d18:1_24:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,6.0193523423444395
Cer(d18:0_24:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.9429905148169395
Cer(t18:0_24:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.14467247820259593
Cer(d20:1_24:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.8380638092033573
Cer(d19:0_31:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.0
Cer(t16:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.0
Cer(d23:2),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.034088966619547655
Cer(d18:1_16:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,8.399666964341609
Cer(d18:1_18:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.5299546079129596
Cer(d18:0_22:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.8147340392766017
Cer(m18:1_24:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.8371832386578557
Cer(d20:1_23:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.7336309717820463
Cer(d18:1_24:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.4531090749679043
Cer(d18:2_22:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.4519964729650152
Cer(d18:2_24:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.0260913399567284
Cer(d20:1_22:2),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.47301634708138834
Cer(d18:1_26:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,4.16939605940956
Cer(d18:1_14:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.39522952913912884
Cer(d18:2_16:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.44808951328567564
Cer(d17:1_24:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.5360726118174733
Cer(d19:1_24:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.4629851148541698
Cer(t19:2_23:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.1655445659953115
Cer(t18:1_24:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.18256421640178902
Cer(t19:1_23:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,9.072845568025722
Cer(d20:1_23:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.6875018362390548
Cer(d20:1_24:2),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.8389333380256391
Cer(d18:0_16:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,3.2530141599646534
Cer(m18:0_24:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.48056498549980076
Cer(d18:0_26:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.3019948711316549
Cer(d20:1_18:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.8328134605620872
Cer(d20:0_18:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.2971417573070486
Cer(d18:0_23:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.2758735492392895
Cer(t17:0_23:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.06461914344764168
Cer(m18:2_24:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.7373394719389297
Cer(d20:1_24:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,5.639275804578908
Cer(d17:1_16:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.7784419653028224
Cer(d17:1_22:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.1692677726868036
Cer(d18:0_18:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.6388003196850781
Cer(d20:0_23:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.1304805294453842
Cer(d17:0_35:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.8976739528535304
